Stock Ticker,Date,Price
META,2024-03-05,491.117493
META,2024-03-12,494.880005
META,2024-03-19,493.299988
META,2024-03-26,506.361694
META,2024-04-02,493.75
META,2024-04-09,513.950012
META,2024-04-16,501.320007
META,2024-04-23,494.695007
META,2024-04-30,431.429993
META,2024-05-07,468.309998
META,2024-05-14,468.855011
META,2024-05-21,463.820099
META,2024-05-28,477.359985
META,2024-06-04,475.437988
META,2024-06-11,502.429993
META,2024-06-18,497.940002
META,2024-06-25,505.350006
META,2024-07-02,509.225494
META,2024-07-09,529.820007
META,2024-07-16,487.929993
META,2024-07-23,492.799896
META,2024-07-30,460.51001
META,2024-08-06,499.894989
META,2024-08-13,529.219971
META,2024-08-20,527.380005
META,2024-08-27,520.330017
META,2024-09-03,514.940002
META,2024-09-10,503.329987
META,2024-09-17,534.13501
META,2024-09-24,562.289978
META,2024-10-01,573.400024
META,2024-10-08,588.48999
META,2024-10-15,585.47998
META,2024-10-22,579.219971
META,2024-10-29,588.650024
META,2024-11-05,571.799988
META,2024-11-12,584.320007
META,2024-11-19,557.799988
META,2024-11-26,574.100098
META,2024-12-03,607.789978
META,2024-12-10,619.640015
META,2024-12-17,621.809998
AAPL,2024-03-05,170.470001
AAPL,2024-03-12,173.039993
AAPL,2024-03-19,175.645004
AAPL,2024-03-26,170.820007
AAPL,2024-04-02,168.994995
AAPL,2024-04-09,169.259995
AAPL,2024-04-16,169.389999
AAPL,2024-04-23,166.391998
AAPL,2024-04-30,173.275299
AAPL,2024-05-07,182.559998
AAPL,2024-05-14,186.529999
AAPL,2024-05-21,192.360001
AAPL,2024-05-28,190.875
AAPL,2024-06-04,194.804993
AAPL,2024-06-11,205.039993
AAPL,2024-06-18,213.660004
AAPL,2024-06-25,210.115005
AAPL,2024-07-02,219.399994
AAPL,2024-07-09,228.009995
AAPL,2024-07-16,233.544998
AAPL,2024-07-23,224.720001
AAPL,2024-07-30,217.25
AAPL,2024-08-06,208.990005
AAPL,2024-08-13,221.690002
AAPL,2024-08-20,226.710007
AAPL,2024-08-27,228.490005
AAPL,2024-09-03,223.831497
AAPL,2024-09-10,220.270004
AAPL,2024-09-17,216.169998
AAPL,2024-09-24,227.240005
AAPL,2024-10-01,223.929993
AAPL,2024-10-08,224.740005
AAPL,2024-10-15,234.020004
AAPL,2024-10-22,234.850006
AAPL,2024-10-29,233.889999
AAPL,2024-11-05,222.619995
AAPL,2024-11-12,224.470001
AAPL,2024-11-19,229.580002
AAPL,2024-11-26,234.509995
AAPL,2024-12-03,241.419998
AAPL,2024-12-10,247.406601
AAPL,2024-12-17,253.130005
AMZN,2024-03-05,173.870193
AMZN,2024-03-12,175.904999
AMZN,2024-03-19,175.429993
AMZN,2024-03-26,179.669998
AMZN,2024-04-02,180.542801
AMZN,2024-04-09,185.020004
AMZN,2024-04-16,183.779999
AMZN,2024-04-23,178.729996
AMZN,2024-04-30,179.464996
AMZN,2024-05-07,188.929993
AMZN,2024-05-14,186.524994
AMZN,2024-05-21,181.727402
AMZN,2024-05-28,180.908203
AMZN,2024-06-04,178.960007
AMZN,2024-06-11,185.154602
AMZN,2024-06-18,182.735001
AMZN,2024-06-25,187.539993
AMZN,2024-07-02,199.420303
AMZN,2024-07-09,199.494995
AMZN,2024-07-16,193.279999
AMZN,2024-07-23,187.485001
AMZN,2024-07-30,180.110107
AMZN,2024-08-06,163.839996
AMZN,2024-08-13,169.919403
AMZN,2024-08-20,177.859894
AMZN,2024-08-27,173.449997
AMZN,2024-09-03,176.720001
AMZN,2024-09-10,179.770004
AMZN,2024-09-17,186.970001
AMZN,2024-09-24,192.779999
AMZN,2024-10-01,184.039993
AMZN,2024-10-08,181.690002
AMZN,2024-10-15,186.029999
AMZN,2024-10-22,189.75
AMZN,2024-10-29,190.490005
AMZN,2024-11-05,198.880005
AMZN,2024-11-12,208.159698
AMZN,2024-11-19,204.250107
AMZN,2024-11-26,206.25
AMZN,2024-12-03,213.279999
AMZN,2024-12-10,226.690002
AMZN,2024-12-17,231.869995
NFLX,2024-03-05,596.969971
NFLX,2024-03-12,607.974976
NFLX,2024-03-19,619.994995
NFLX,2024-03-26,631.669983
NFLX,2024-04-02,611.780029
NFLX,2024-04-09,618.640015
NFLX,2024-04-16,619.23999
NFLX,2024-04-23,576.590027
NFLX,2024-04-30,552.080017
NFLX,2024-05-07,603.679993
NFLX,2024-05-14,612.0
NFLX,2024-05-21,644.494995
NFLX,2024-05-28,646.039185
NFLX,2024-06-04,631.0
NFLX,2024-06-11,643.23999
NFLX,2024-06-18,685.48999
NFLX,2024-06-25,669.414978
NFLX,2024-07-02,676.119995
NFLX,2024-07-09,688.820007
NFLX,2024-07-16,653.35498
NFLX,2024-07-23,643.890015
NFLX,2024-07-30,620.695007
NFLX,2024-08-06,614.119995
NFLX,2024-08-13,648.390015
NFLX,2024-08-20,696.25
NFLX,2024-08-27,703.779907
NFLX,2024-09-03,679.678711
NFLX,2024-09-10,671.969971
NFLX,2024-09-17,702.5
NFLX,2024-09-24,719.505005
NFLX,2024-10-01,702.309998
NFLX,2024-10-08,720.48999
