Ticker,Date,Midday Price
MMM,2023-01-03,"Ticker
MMM    121.620003
Name: 2023-01-03 12:30:00, dtype: float64"
MMM,2023-01-10,"Ticker
MMM    127.520599
Name: 2023-01-10 12:30:00, dtype: float64"
MMM,2023-01-17,"Ticker
MMM    127.017998
Name: 2023-01-17 12:30:00, dtype: float64"
MMM,2023-01-24,"Ticker
MMM    116.202698
Name: 2023-01-24 12:30:00, dtype: float64"
MMM,2023-01-31,"Ticker
MMM    114.0392
Name: 2023-01-31 12:30:00, dtype: float64"
MMM,2023-02-07,"Ticker
MMM    115.434998
Name: 2023-02-07 12:30:00, dtype: float64"
MMM,2023-02-14,"Ticker
MMM    114.349998
Name: 2023-02-14 12:30:00, dtype: float64"
MMM,2023-02-21,"Ticker
MMM    109.662498
Name: 2023-02-21 12:30:00, dtype: float64"
MMM,2023-02-28,"Ticker
MMM    108.800003
Name: 2023-02-28 12:30:00, dtype: float64"
MMM,2023-03-07,"Ticker
MMM    107.775002
Name: 2023-03-07 12:30:00, dtype: float64"
MMM,2023-03-14,"Ticker
MMM    102.330002
Name: 2023-03-14 12:30:00, dtype: float64"
MMM,2023-03-21,"Ticker
MMM    104.019997
Name: 2023-03-21 12:30:00, dtype: float64"
MMM,2023-03-28,"Ticker
MMM    101.849998
Name: 2023-03-28 12:30:00, dtype: float64"
MMM,2023-04-04,"Ticker
MMM    102.510002
Name: 2023-04-04 12:30:00, dtype: float64"
MMM,2023-04-11,"Ticker
MMM    104.330002
Name: 2023-04-11 12:30:00, dtype: float64"
MMM,2023-04-18,"Ticker
MMM    106.095001
Name: 2023-04-18 12:30:00, dtype: float64"
MMM,2023-04-25,"Ticker
MMM    104.440002
Name: 2023-04-25 12:30:00, dtype: float64"
MMM,2023-05-02,"Ticker
MMM    103.139999
Name: 2023-05-02 12:30:00, dtype: float64"
MMM,2023-05-09,"Ticker
MMM    100.769997
Name: 2023-05-09 12:30:00, dtype: float64"
MMM,2023-05-16,"Ticker
MMM    98.160004
Name: 2023-05-16 12:30:00, dtype: float64"
MMM,2023-05-23,"Ticker
MMM    101.870003
Name: 2023-05-23 12:30:00, dtype: float64"
MMM,2023-05-30,"Ticker
MMM    95.316101
Name: 2023-05-30 12:30:00, dtype: float64"
MMM,2023-06-06,"Ticker
MMM    97.798798
Name: 2023-06-06 12:30:00, dtype: float64"
MMM,2023-06-13,"Ticker
MMM    102.919998
Name: 2023-06-13 12:30:00, dtype: float64"
MMM,2023-06-20,"Ticker
MMM    102.559998
Name: 2023-06-20 12:30:00, dtype: float64"
MMM,2023-06-27,"Ticker
MMM    99.559998
Name: 2023-06-27 12:30:00, dtype: float64"
MMM,2023-07-11,"Ticker
MMM    101.349998
Name: 2023-07-11 12:30:00, dtype: float64"
MMM,2023-07-18,"Ticker
MMM    102.529999
Name: 2023-07-18 12:30:00, dtype: float64"
MMM,2023-07-25,"Ticker
MMM    109.665398
Name: 2023-07-25 12:30:00, dtype: float64"
MMM,2023-08-01,"Ticker
MMM    110.775002
Name: 2023-08-01 12:30:00, dtype: float64"
MMM,2023-08-08,"Ticker
MMM    103.279999
Name: 2023-08-08 12:30:00, dtype: float64"
