Ticker,Date,Midday Price
MMM,2023-12-26,"Ticker
MMM    90.685616
Name: 2023-12-26 12:30:00, dtype: float64"
MMM,2024-01-02,"Ticker
MMM    92.408028
Name: 2024-01-02 12:30:00, dtype: float64"
MMM,2024-01-09,"Ticker
MMM    90.727425
Name: 2024-01-09 12:30:00, dtype: float64"
MMM,2024-01-16,"Ticker
MMM    89.949829
Name: 2024-01-16 12:30:00, dtype: float64"
MMM,2024-01-23,"Ticker
MMM    79.941475
Name: 2024-01-23 12:30:00, dtype: float64"
MMM,2024-01-30,"Ticker
MMM    79.68988
Name: 2024-01-30 12:30:00, dtype: float64"
MMM,2024-02-06,"Ticker
MMM    78.277679
Name: 2024-02-06 12:30:00, dtype: float64"
MMM,2024-02-13,"Ticker
MMM    77.073578
Name: 2024-02-13 12:30:00, dtype: float64"
MMM,2024-02-20,"Ticker
MMM    76.914719
Name: 2024-02-20 12:30:00, dtype: float64"
MMM,2024-02-27,"Ticker
MMM    76.876167
Name: 2024-02-27 12:30:00, dtype: float64"
MMM,2024-03-05,"Ticker
MMM    77.934784
Name: 2024-03-05 12:30:00, dtype: float64"
MMM,2024-03-12,"Ticker
MMM    82.616974
Name: 2024-03-12 12:30:00, dtype: float64"
MMM,2024-03-19,"Ticker
MMM    87.897156
Name: 2024-03-19 12:30:00, dtype: float64"
MMM,2024-03-26,"Ticker
MMM    86.634613
Name: 2024-03-26 12:30:00, dtype: float64"
MMM,2024-04-02,"Ticker
MMM    92.900002
Name: 2024-04-02 12:30:00, dtype: float64"
MMM,2024-04-09,"Ticker
MMM    92.879997
Name: 2024-04-09 12:30:00, dtype: float64"
MMM,2024-04-16,"Ticker
MMM    90.860001
Name: 2024-04-16 12:30:00, dtype: float64"
MMM,2024-04-23,"Ticker
MMM    93.448502
Name: 2024-04-23 12:30:00, dtype: float64"
MMM,2024-04-30,"Ticker
MMM    94.389999
Name: 2024-04-30 12:30:00, dtype: float64"
MMM,2024-05-07,"Ticker
MMM    96.25
Name: 2024-05-07 12:30:00, dtype: float64"
MMM,2024-05-14,"Ticker
MMM    99.874199
Name: 2024-05-14 12:30:00, dtype: float64"
MMM,2024-05-21,"Ticker
MMM    102.904999
Name: 2024-05-21 12:30:00, dtype: float64"
MMM,2024-05-28,"Ticker
MMM    98.175003
Name: 2024-05-28 12:30:00, dtype: float64"
MMM,2024-06-04,"Ticker
MMM    98.395798
Name: 2024-06-04 12:30:00, dtype: float64"
MMM,2024-06-11,"Ticker
MMM    100.849998
Name: 2024-06-11 12:30:00, dtype: float64"
MMM,2024-06-18,"Ticker
MMM    100.910004
Name: 2024-06-18 12:30:00, dtype: float64"
MMM,2024-06-25,"Ticker
MMM    103.029999
Name: 2024-06-25 12:30:00, dtype: float64"
MMM,2024-07-02,"Ticker
MMM    100.809998
Name: 2024-07-02 12:30:00, dtype: float64"
MMM,2024-07-09,"Ticker
MMM    100.559998
Name: 2024-07-09 12:30:00, dtype: float64"
MMM,2024-07-16,"Ticker
MMM    102.699997
Name: 2024-07-16 12:30:00, dtype: float64"
MMM,2024-07-23,"Ticker
MMM    104.860001
Name: 2024-07-23 12:30:00, dtype: float64"
MMM,2024-07-30,"Ticker
MMM    126.529999
Name: 2024-07-30 12:30:00, dtype: float64"
MMM,2024-08-06,"Ticker
MMM    125.150002
Name: 2024-08-06 12:30:00, dtype: float64"
MMM,2024-08-13,"Ticker
MMM    124.650002
Name: 2024-08-13 12:30:00, dtype: float64"
MMM,2024-08-20,"Ticker
MMM    127.25
Name: 2024-08-20 12:30:00, dtype: float64"
MMM,2024-08-27,"Ticker
MMM    132.130005
Name: 2024-08-27 12:30:00, dtype: float64"
MMM,2024-09-03,"Ticker
MMM    130.914993
Name: 2024-09-03 12:30:00, dtype: float64"
MMM,2024-09-10,"Ticker
MMM    129.721695
Name: 2024-09-10 12:30:00, dtype: float64"
MMM,2024-09-17,"Ticker
MMM    132.960007
Name: 2024-09-17 12:30:00, dtype: float64"
MMM,2024-09-24,"Ticker
MMM    136.839996
Name: 2024-09-24 12:30:00, dtype: float64"
MMM,2024-10-01,"Ticker
MMM    136.130005
Name: 2024-10-01 12:30:00, dtype: float64"
MMM,2024-10-08,"Ticker
MMM    134.179993
Name: 2024-10-08 12:30:00, dtype: float64"
MMM,2024-10-15,"Ticker
MMM    136.160004
Name: 2024-10-15 12:30:00, dtype: float64"
MMM,2024-10-22,"Ticker
MMM    132.530106
Name: 2024-10-22 12:30:00, dtype: float64"
MMM,2024-10-29,"Ticker
MMM    129.220001
Name: 2024-10-29 12:30:00, dtype: float64"
MMM,2024-11-05,"Ticker
MMM    127.370003
Name: 2024-11-05 12:30:00, dtype: float64"
MMM,2024-11-12,"Ticker
MMM    129.369995
Name: 2024-11-12 12:30:00, dtype: float64"
MMM,2024-11-19,"Ticker
MMM    128.630005
Name: 2024-11-19 12:30:00, dtype: float64"
MMM,2024-11-26,"Ticker
MMM    131.774994
Name: 2024-11-26 12:30:00, dtype: float64"
MMM,2024-12-03,"Ticker
MMM    131.660004
Name: 2024-12-03 12:30:00, dtype: float64"
MMM,2024-12-10,"Ticker
MMM    129.669998
Name: 2024-12-10 12:30:00, dtype: float64"
MMM,2024-12-17,"Ticker
MMM    128.899994
Name: 2024-12-17 12:30:00, dtype: float64"
AOS,2023-12-26,"Ticker
AOS    81.980003
Name: 2023-12-26 12:30:00, dtype: float64"
AOS,2024-01-02,"Ticker
AOS    81.559998
Name: 2024-01-02 12:30:00, dtype: float64"
AOS,2024-01-09,"Ticker
AOS    79.605003
Name: 2024-01-09 12:30:00, dtype: float64"
AOS,2024-01-16,"Ticker
AOS    80.849998
Name: 2024-01-16 12:30:00, dtype: float64"
AOS,2024-01-23,"Ticker
AOS    81.839996
Name: 2024-01-23 12:30:00, dtype: float64"
AOS,2024-01-30,"Ticker
AOS    78.639999
Name: 2024-01-30 12:30:00, dtype: float64"
AOS,2024-02-06,"Ticker
AOS    78.150002
Name: 2024-02-06 12:30:00, dtype: float64"
AOS,2024-02-13,"Ticker
AOS    79.650002
Name: 2024-02-13 12:30:00, dtype: float64"
AOS,2024-02-20,"Ticker
AOS    79.139999
Name: 2024-02-20 12:30:00, dtype: float64"
AOS,2024-02-27,"Ticker
AOS    81.790001
Name: 2024-02-27 12:30:00, dtype: float64"
AOS,2024-03-05,"Ticker
AOS    83.970001
Name: 2024-03-05 12:30:00, dtype: float64"
AOS,2024-03-12,"Ticker
AOS    85.461502
Name: 2024-03-12 12:30:00, dtype: float64"
AOS,2024-03-19,"Ticker
AOS    86.309998
Name: 2024-03-19 12:30:00, dtype: float64"
AOS,2024-03-26,"Ticker
AOS    87.970001
Name: 2024-03-26 12:30:00, dtype: float64"
AOS,2024-04-02,"Ticker
AOS    88.110001
Name: 2024-04-02 12:30:00, dtype: float64"
AOS,2024-04-09,"Ticker
AOS    86.120003
Name: 2024-04-09 12:30:00, dtype: float64"
AOS,2024-04-16,"Ticker
AOS    85.379997
Name: 2024-04-16 12:30:00, dtype: float64"
AOS,2024-04-23,"Ticker
AOS    88.110001
Name: 2024-04-23 12:30:00, dtype: float64"
AOS,2024-04-30,"Ticker
AOS    83.519997
Name: 2024-04-30 12:30:00, dtype: float64"
AOS,2024-05-07,"Ticker
AOS    85.745003
Name: 2024-05-07 12:30:00, dtype: float64"
AOS,2024-05-14,"Ticker
AOS    86.309998
Name: 2024-05-14 12:30:00, dtype: float64"
AOS,2024-05-21,"Ticker
AOS    85.220001
Name: 2024-05-21 12:30:00, dtype: float64"
AOS,2024-05-28,"Ticker
AOS    83.269997
Name: 2024-05-28 12:30:00, dtype: float64"
AOS,2024-06-04,"Ticker
AOS    81.470001
Name: 2024-06-04 12:30:00, dtype: float64"
AOS,2024-06-11,"Ticker
AOS    81.095001
Name: 2024-06-11 12:30:00, dtype: float64"
AOS,2024-06-18,"Ticker
AOS    84.379997
Name: 2024-06-18 12:30:00, dtype: float64"
AOS,2024-06-25,"Ticker
AOS    82.459999
Name: 2024-06-25 12:30:00, dtype: float64"
AOS,2024-07-02,"Ticker
AOS    80.910004
Name: 2024-07-02 12:30:00, dtype: float64"
AOS,2024-07-09,"Ticker
AOS    81.199997
Name: 2024-07-09 12:30:00, dtype: float64"
AOS,2024-07-16,"Ticker
AOS    90.824997
Name: 2024-07-16 12:30:00, dtype: float64"
AOS,2024-07-23,"Ticker
AOS    81.129997
Name: 2024-07-23 12:30:00, dtype: float64"
AOS,2024-07-30,"Ticker
AOS    85.720001
Name: 2024-07-30 12:30:00, dtype: float64"
AOS,2024-08-06,"Ticker
AOS    82.772499
Name: 2024-08-06 12:30:00, dtype: float64"
AOS,2024-08-13,"Ticker
AOS    79.290001
Name: 2024-08-13 12:30:00, dtype: float64"
AOS,2024-08-20,"Ticker
AOS    80.464996
Name: 2024-08-20 12:30:00, dtype: float64"
AOS,2024-08-27,"Ticker
AOS    81.529999
Name: 2024-08-27 12:30:00, dtype: float64"
AOS,2024-09-03,"Ticker
AOS    81.279999
Name: 2024-09-03 12:30:00, dtype: float64"
AOS,2024-09-10,"Ticker
AOS    78.370003
Name: 2024-09-10 12:30:00, dtype: float64"
AOS,2024-09-17,"Ticker
AOS    82.57
Name: 2024-09-17 12:30:00, dtype: float64"
AOS,2024-09-24,"Ticker
AOS    84.959999
Name: 2024-09-24 12:30:00, dtype: float64"
AOS,2024-10-01,"Ticker
AOS    88.709999
Name: 2024-10-01 12:30:00, dtype: float64"
AOS,2024-10-08,"Ticker
AOS    86.620003
Name: 2024-10-08 12:30:00, dtype: float64"
AOS,2024-10-15,"Ticker
AOS    81.760002
Name: 2024-10-15 12:30:00, dtype: float64"
AOS,2024-10-22,"Ticker
AOS    78.519997
Name: 2024-10-22 12:30:00, dtype: float64"
AOS,2024-10-29,"Ticker
AOS    76.82
Name: 2024-10-29 12:30:00, dtype: float64"
AOS,2024-11-05,"Ticker
AOS    75.345001
Name: 2024-11-05 12:30:00, dtype: float64"
AOS,2024-11-12,"Ticker
AOS    73.385002
Name: 2024-11-12 12:30:00, dtype: float64"
AOS,2024-11-19,"Ticker
AOS    71.620003
Name: 2024-11-19 12:30:00, dtype: float64"
AOS,2024-11-26,"Ticker
AOS    73.870003
Name: 2024-11-26 12:30:00, dtype: float64"
AOS,2024-12-03,"Ticker
AOS    73.705002
Name: 2024-12-03 12:30:00, dtype: float64"
AOS,2024-12-10,"Ticker
AOS    73.290001
Name: 2024-12-10 12:30:00, dtype: float64"
AOS,2024-12-17,"Ticker
AOS    71.190002
Name: 2024-12-17 12:30:00, dtype: float64"
ABT,2023-12-26,"Ticker
ABT    109.290001
Name: 2023-12-26 12:30:00, dtype: float64"
ABT,2024-01-02,"Ticker
ABT    110.525002
Name: 2024-01-02 12:30:00, dtype: float64"
ABT,2024-01-09,"Ticker
ABT    112.870003
Name: 2024-01-09 12:30:00, dtype: float64"
ABT,2024-01-16,"Ticker
ABT    114.040001
Name: 2024-01-16 12:30:00, dtype: float64"
ABT,2024-01-23,"Ticker
ABT    113.885002
Name: 2024-01-23 12:30:00, dtype: float64"
ABT,2024-01-30,"Ticker
ABT    113.440002
Name: 2024-01-30 12:30:00, dtype: float64"
ABT,2024-02-06,"Ticker
ABT    114.089996
Name: 2024-02-06 12:30:00, dtype: float64"
