Stock 1,Stock 2,Covariance
EL,SMCI,0.018425922862110106
CE,SMCI,0.01565456759626901
QRVO,SMCI,0.015086277138027666
CEG,SMCI,0.009881917104610472
AMTM,INCY,0.009798171222255297
SMCI,WYNN,0.009707894943056244
APTV,SMCI,0.009511480900204244
CVS,SMCI,0.009480179149189262
HII,SMCI,0.009439630655620514
AMTM,LDOS,0.009382757071811689
MGM,SMCI,0.008616267326830703
AXON,EPAM,0.008591447683736366
MPWR,SMCI,0.007833610415950388
EPAM,FTNT,0.007781439726750668
AXON,FTNT,0.007669426126464142
CE,QRVO,0.0076556854513701745
EL,QRVO,0.00763531320449212
CZR,SMCI,0.007556128648365679
AMD,SMCI,0.00740067574579783
NXPI,SMCI,0.007315428669291949
CE,EL,0.0073022578737482165
AMTM,CRL,0.007076452274833081
ENPH,SMCI,0.007074523112247243
SMCI,TFX,0.006678233217321715
INCY,LDOS,0.006631599743537985
SMCI,UBER,0.0065643604023461755
HII,QRVO,0.006512947527624158
CRL,EPAM,0.006427027441991862
SMCI,WDC,0.006348396844477006
MTCH,SMCI,0.006346526575981855
PAYC,WAT,0.006291253661959356
ENPH,MRNA,0.0062492695357604005
EL,HII,0.006209623566653523
ENPH,MTCH,0.006190654895471288
GRMN,PAYC,0.00607882706940148
APTV,EL,0.006031153444972737
EW,SMCI,0.00597229879045476
APTV,HII,0.005970982677659954
AXON,TRMB,0.005966556102033925
CE,MPWR,0.005883149224822888
MRNA,SMCI,0.005849064169051853
CRL,FTNT,0.00581217575893713
LVS,SMCI,0.005779614979959948
AXON,TSLA,0.005755174038609188
EPAM,TRMB,0.0057283740032007405
AMTM,NUE,0.005701555399701375
APTV,QRVO,0.005676390649911622
MCHP,SMCI,0.005670322009700842
ADM,SMCI,0.005665571429923894
ABBV,ENPH,0.005625960928026842
EPAM,TSLA,0.0056151404674651415
AMTM,WBA,0.00557270856015327
IP,PAYC,0.005558130013855859
ADBE,AMTM,0.005533693199336101
AMTM,HUM,0.00553103162888292
AXON,FICO,0.00550329294214197
ENPH,FSLR,0.0054933655990854965
AES,SMCI,0.005485696891629636
AMTM,LLY,0.005428167805409726
AXON,MCK,0.005424915065708814
LLY,SMCI,0.005394204085397682
AMTM,EPAM,0.005368103180765755
AXON,CRL,0.005357632227911139
AKAM,SMCI,0.005272310997020927
MPWR,QRVO,0.005254536440508608
DE,SMCI,0.005244347876825548
ENPH,FMC,0.0052156947996440245
AXON,VST,0.00520701208621013
IRM,SMCI,0.005119189344123246
AMCR,SMCI,0.005077254897960118
AMTM,IPG,0.00507254180752982
AMTM,TECH,0.005062262489807289
DAY,PAYC,0.005058698678971684
AMTM,MRNA,0.005032209649579945
ERIE,SMCI,0.005009403678575586
FTNT,TRMB,0.004990254535358278
AMTM,FTNT,0.004984207586739093
APTV,CE,0.004971560942474145
AMTM,KEYS,0.0049268476407690245
SMCI,SWKS,0.004926815257406044
AXON,DFS,0.004905827130050875
CE,HII,0.004820439223877749
SMCI,TPR,0.004814771582852026
CRM,EPAM,0.004803904992131142
CHTR,PAYC,0.00480039766860792
AXON,EQT,0.004799801548434481
DFS,EPAM,0.004779521631701453
HSIC,SMCI,0.004774386916183333
AMTM,ODFL,0.004772871391836954
EPAM,MCK,0.004768852430138588
EPAM,FICO,0.004763671713014568
